kind,metric,thing,ts,val
network,event_ids,Parsely,2017-07-06 00:00,172578014
network,event_ids,Parsely,2017-07-07 00:00,168563559
network,event_ids,Parsely,2017-07-08 00:00,143297043
network,event_ids,Parsely,2017-07-10 00:00,170671207
network,event_ids,Parsely,2017-07-12 00:00,69963925
network,events,Parsely,2017-07-08 02:30:00,627582
network,events,Parsely,2017-07-08 10:25:00,278670
network,events,Parsely,2017-07-08 16:50:00,598997
network,events,Parsely,2017-07-08 20:00:00,583949
network,events,Parsely,2017-07-08 02:35:00,625134
network,events,Parsely,2017-07-08 11:20:00,372795
network,events,Parsely,2017-07-08 12:40:00,516347
network,events,Parsely,2017-07-08 00:05:00,591076
network,events,Parsely,2017-07-08 06:20:00,309544
network,events,Parsely,2017-07-08 11:25:00,385644
network,events,Parsely,2017-07-08 06:25:00,290590
network,events,Parsely,2017-07-08 00:00:00,598139
network,events,Parsely,2017-07-08 10:50:00,308731
network,events,Parsely,2017-07-08 03:40:00,474063
network,events,Parsely,2017-07-08 10:55:00,318710
network,events,Parsely,2017-07-08 16:55:00,594166
network,events,Parsely,2017-07-08 04:40:00,454975
network,events,Parsely,2017-07-08 01:35:00,635611
network,events,Parsely,2017-07-08 19:05:00,574656
network,events,Parsely,2017-07-08 01:30:00,620464
network,events,Parsely,2017-07-08 07:10:00,268420
network,events,Parsely,2017-07-08 19:55:00,582410
network,events,Parsely,2017-07-08 07:15:00,266974
network,events,Parsely,2017-07-08 09:05:00,226629
network,events,Parsely,2017-07-08 13:35:00,601973
network,events,Parsely,2017-07-08 09:00:00,221743
network,events,Parsely,2017-07-08 20:05:00,583527
network,events,Parsely,2017-07-08 07:25:00,254058
network,events,Parsely,2017-07-08 19:50:00,581909
network,events,Parsely,2017-07-08 23:45:00,551527
network,events,Parsely,2017-07-08 18:40:00,591124
network,events,Parsely,2017-07-08 18:45:00,584358
network,events,Parsely,2017-07-08 11:30:00,392353
network,events,Parsely,2017-07-08 18:25:00,583345
network,events,Parsely,2017-07-08 15:15:00,623635
network,events,Parsely,2017-07-08 16:30:00,604244
network,events,Parsely,2017-07-08 10:00:00,251518
network,events,Parsely,2017-07-08 00:10:00,602240
network,events,Parsely,2017-07-08 13:05:00,549923
network,events,Parsely,2017-07-08 15:20:00,625512
